Country,HTS_Code,Truncated_Mean_EU_Export_to_US_2022_2024H1_in_thousand ($),Export_Share
AT,250490,64.933,3.8810281013531404e-05
AT,250510,2.881,1.7219660203592002e-06
AT,250590,14.073571428571428,8.411736128114575e-06
AT,250610,3.1229999999999998,1.8666087752800355e-06
AT,250700,251.66649999999998,0.00015042039620365453
AT,250810,68.4,4.08824976718394e-05
AT,250860,56.806,3.3952794776995745e-05
AT,251320,9.7955,5.85474423895472e-06
AT,251741,12.382,7.400688394337944e-06
AT,251820,22.378,1.337527094883658e-05
AT,251910,5.405,3.2305540923434498e-06
AT,251990,185.4223333333333,0.0001108264343685238
AT,252210,18.1332,1.0838165303845002e-05
AT,252510,7.965333333333334,4.760858500810303e-06
AT,252520,12.873666666666665,7.694556250409889e-06
AT,252620,27.76892857142857,1.6597414585831916e-05
AT,253090,72.66004545454545,4.342871548437426e-05
AT,260600,2.4225000000000003,1.4479217925443123e-06
AT,261400,160.58766666666665,9.598282030155147e-05
AT,261510,45.885000000000005,2.7425342188192267e-05
AT,261790,16.109,9.628306359585687e-06
AT,271012,6.6762500000000005,3.990376828678623e-06
AT,271019,93.39053333333332,5.581927282999765e-05
AT,271114,10.35,6.186167410870435e-06
AT,271500,191.37796153846153,0.00011438609747130883
AT,280421,84.93021739130435,5.076256454340372e-05
AT,280429,6.750399999999999,4.034696086023167e-06
AT,280430,22.45,1.34183051569122e-05
AT,280450,3.567,2.1319863917463618e-06
AT,280469,200.0,0.00011953946687672338
AT,280530,249.75,0.00014927490926230832
AT,280610,9.711181818181817,5.804347486441918e-06
AT,280700,5.287307692307692,3.1602097137583005e-06
AT,280920,9.099,5.43844804555653e-06
AT,281112,11.938,7.1353107778716195e-06
AT,281121,226.03603333333334,0.00013510113459797973
AT,281122,23.785199999999996,1.4216350637781203e-05
AT,281129,1627.7913666666668,0.0009729265607893316
AT,281511,10.097,6.03494998527138e-06
AT,281512,7.41,4.428937247782602e-06
AT,281610,189.93743999999998,0.00011352510158764816
AT,281810,1738.7797333333333,0.0010392640116935895
AT,281820,25.640772727272726,1.532542151062705e-05
AT,282110,8.042142857142858,4.806767348446531e-06
AT,282530,30.7682,1.8390071123782003e-05
AT,282580,2.095,1.2521759155336776e-06
AT,282590,733.787,0.00043858253390535116
AT,282619,6.396000000000001,3.822872150717614e-06
AT,282720,7.7280588235294125,4.61904015878332e-06
AT,282731,6.107192307692308,3.6502525628758224e-06
AT,282739,6.681,3.993215891016944e-06
AT,282890,20.772,1.241536902981649e-05
AT,283010,118.92460000000001,7.10809164126379e-05
AT,283090,593.5879,0.00035478590555236897
AT,283325,271.2185,0.000162106574485523
AT,283329,838.12,0.000500942089893597
AT,283526,3.0,1.7930920031508508e-06
AT,283529,27.072,1.6180862236433278e-05
AT,283539,29.207,1.74569460453423e-05
AT,283620,33.073,1.9767643940069364e-05
AT,283630,2.598,1.5528176747286367e-06
AT,283650,31.307142857142857,1.8712195832881378e-05
AT,283699,115.9236956521739,6.928728388320202e-05
AT,283919,29.158,1.7427658875957504e-05
AT,283990,29.5,1.7632071364316698e-05
AT,284030,145.64172,8.70496678190451e-05
AT,284150,446.4149,0.00026682099575912893
AT,284170,2.289,1.3681291984040992e-06
AT,284180,10.5,6.275822011027978e-06
AT,284190,992.789090909091,0.000593387393241498
AT,284210,24.18,1.4452321545395858e-05
AT,284390,20.125500000000002,1.2028957703137484e-05
AT,284520,5.545,3.314231719157156e-06
AT,284590,12.300761904761904,7.352132601363732e-06
AT,284610,97.33555555555556,5.8177202096304015e-05
AT,284690,491.79429999999996,0.0002939441421750568
AT,284700,9.158999999999999,5.474309885619547e-06
AT,284910,241.503,0.00014434569934564662
AT,284920,5.2,3.108026138794808e-06
AT,284990,2257.8876333333333,0.0013495334197810667
AT,285000,44.12057142857143,2.6370747934339113e-05
AT,285390,7.361782608695652,4.4001178415290604e-06
AT,290110,10.1155,6.046007385957478e-06
AT,290290,130.18633333333335,7.781202440651036e-05
AT,290512,3.6330000000000005,2.1714344158156805e-06
AT,290522,7.01,4.1898583140291545e-06
AT,290531,76.47642857142857,4.5709757500321935e-05
AT,290611,467.10650000000004,0.000279188309923261
AT,290613,6.577,3.931055368241049e-06
AT,290729,99.3416,5.937620951340352e-05
AT,290899,9.199333333333334,5.498417011439687e-06
AT,290930,6.234,3.726045182547468e-06
AT,290944,5.586,3.3387373098668845e-06
AT,290950,61.856,3.697116631563301e-05
AT,291219,16.16357142857143,9.660923556976336e-06
AT,291229,434.352625,0.00025961140614502677
AT,291412,2.064,1.2336472981677853e-06
AT,291419,237.549,0.00014198240408549382
AT,291440,12.485666666666667,7.4626496846690465e-06
AT,291450,2.909625,1.7390751065559316e-06
AT,291469,308.6325,0.00018446882255415166
AT,291479,25.182,1.505121427444824e-05
AT,291521,41.8895,2.503724248866252e-05
AT,291529,274.6188333333333,0.0001641389446548721
AT,291590,156.47733333333335,9.352608502479004e-05
AT,291614,3.1795,1.90037867467271e-06
AT,291620,2.951,1.7638048337660536e-06
AT,291632,2.518,1.5050018879779473e-06
AT,291639,513.319,0.0003068093979884638
AT,291711,6.523,3.898779712184333e-06
AT,291712,129.953,7.767256169515417e-05
AT,291714,962.4068235294118,0.0005752279930161334
AT,291719,859.2336333333334,0.0005135616522560835
AT,291720,5.795,3.46365605275306e-06
AT,291735,449.2639655172414,0.00026852387462426836
AT,291811,35.132,2.099830275156523e-05
AT,291814,314.6878666666667,0.00018808809906953376
AT,291815,419.8953,0.00025097030153020916
AT,291819,401.7525,0.00024012639833195405
AT,291830,97.00836363636364,5.7981640358371146e-05
AT,291899,669.603,0.00040021992819527303
AT,291990,5.399,3.2269679083371477e-06
AT,292090,18.6295,1.1134802490899592e-05
AT,292119,5.149,3.0775435747412437e-06
AT,292121,145.8468,8.71722435883805e-05
AT,292130,20.879833333333334,1.2479820725707524e-05
AT,292142,10.84,6.479039104718407e-06
AT,292219,2.016,1.2049578261173717e-06
AT,292249,95.00099999999999,5.678184446377799e-05
AT,292310,41.585,2.485524365034271e-05
AT,292320,20.07,1.1995785501079193e-05
AT,292390,79.07992307692308,4.72658592263384e-05
AT,292419,481.01946153846154,0.00028750404994818123
AT,292429,253.4111111111111,0.0001514631456143017
AT,292519,368.2057619047619,0.00022007560239516492
AT,292529,74.78442105263157,4.4698449116579936e-05
AT,292700,13.4094,8.014762635683672e-06
AT,292800,96.95275,5.794840023616121e-05
AT,292910,2.385,1.4255081425049263e-06
AT,292990,4.41,2.6358452446317507e-06
AT,293090,592.7026666666667,0.0003542568039487281
AT,293110,227.496,0.00013597375278293533
AT,293142,30.907,1.8473031513794447e-05
AT,293149,8.817,5.269897397260351e-06
AT,293190,6.78,4.052387927120923e-06
AT,293211,82.00800000000001,4.901596299813166e-05
AT,293212,585.082875,0.0003497024747810029
AT,293214,2.333,1.3944278811169784e-06
AT,293219,112.864,6.745851194787254e-05
AT,293220,187.5438,0.00011209442934017419
AT,293299,288.30325,0.0001723180840191335
AT,293319,6.325,3.780435639976377e-06
AT,293329,74.11019999999999,4.429546899063672e-05
AT,293339,167.68625,0.00010022562463778478
AT,293349,2.117,1.265325256890117e-06
AT,293359,243.85128571428572,0.00014574926345744635
AT,293361,107.393,6.418850983145977e-05
AT,293369,67.5006,4.0344928689294776e-05
AT,293379,12.325,7.366619646278079e-06
AT,293399,31.113249999999997,1.859630658901107e-05
AT,293420,20.826,1.2447644685873206e-05
AT,293492,44.1924,2.6413679680014554e-05
AT,293499,293.3499333333333,0.00017533447319494506
AT,293590,7422.928,0.0044366642789215125
AT,293622,34.6685,2.0721270037078426e-05
AT,293628,2.758,1.6484492482300155e-06
AT,293629,2.5399999999999996,1.5181512293343867e-06
AT,293690,4.478375,2.6767127998702303e-06
AT,293711,104.46733333333333,6.24398466634981e-05
AT,293712,7.44,4.4468681678141104e-06
AT,293719,738.0126470588235,0.0004411081918884559
AT,293723,16.2065,9.686581849688087e-06
AT,293729,178.9665,0.00010696779999396557
AT,293790,181.60445454545453,0.0001085444983940089
AT,293890,9.168538461538462,5.4800109986552074e-06
AT,293930,9.073666666666666,5.4233063797521455e-06
AT,293969,21.588,1.2903090054673523e-05
AT,294000,746.4752222222222,0.00044616625050564033
AT,294110,636.9594285714286,0.0003807089525676547
AT,294190,27.3745,1.6361665680084323e-05
AT,294200,15.418,9.215297501526605e-06
AT,300120,15.559999999999999,9.300170523009078e-06
AT,300190,42.02292857142857,2.5116992390135994e-05
AT,300212,35491.9406,0.02121343828872167
AT,300213,183.0144,0.00010938721903381702
AT,300214,55.84036363636364,3.3375636496466405e-05
AT,300215,162195.0115,0.09694352602387009
AT,300241,980.2842222222222,0.0005859132665605393
AT,300249,223.77059090909088,0.00013374708569981045
AT,300251,734.7317999999999,0.0004391472383468767
AT,300259,60.46688461538462,3.614089575309713e-05
AT,300290,649.3237666666666,0.00038809908448859633
AT,300310,982.488,0.000587230458663891
AT,300320,281.393,0.0001681878460142091
AT,300339,17.15,1.025050928467903e-05
AT,300390,2510.693222222222,0.0015006346463772363
AT,300410,4293.813433333333,0.0025664008434438993
AT,300420,3434.1578,0.002052586962912706
AT,300432,610.9688461538461,0.000365174450737588
AT,300439,62786.36086666666,0.0375272405256545
AT,300450,9.404,5.620745732543534e-06
AT,300490,35517.2036,0.021228537916480203
AT,300510,3.049,1.822379172535648e-06
AT,300590,161.70025925925927,9.664781392839904e-05
AT,300610,3823.5696666666668,0.0022853373975967213
AT,300630,20.08,1.2001762474423027e-05
AT,300640,14.069,8.409003797443107e-06
AT,300670,8.6335,5.160219936400956e-06
AT,300693,133.33676190476191,7.96950271658192e-05
AT,310100,41.44740909090909,2.4773005930743653e-05
AT,310520,42.6998,2.552155663871357e-05
AT,320300,50.86805263157894,3.0403699463180264e-05
AT,320417,37.03573333333334,2.2136159090275804e-05
AT,320419,9.936,5.938720714435618e-06
AT,320490,3.6205,2.163963199135885e-06
AT,320619,42.8403,2.5605533114194466e-05
AT,320620,18.3475,1.0966251842603412e-05
AT,320641,23.463,1.4023772556642805e-05
AT,320649,342.98182142857144,0.00020499932040989486
AT,320710,9.114375,5.447637642072679e-06
AT,320720,17.226416666666665,1.0296183322648178e-05
AT,320740,69.6985,4.165860766053652e-05
AT,320810,26.906,1.6081644478925597e-05
AT,320820,64.86157692307692,3.8767591630841e-05
AT,320890,16.335666666666665,9.763784422045971e-06
AT,320910,5.817333333333333,3.477004626554294e-06
AT,320990,101.70542857142857,6.0789063549486206e-05
AT,321000,2.771,1.6562193135770024e-06
AT,321100,84.75074074074074,5.0655291827777745e-05
AT,321210,4.109,2.455938346982282e-06
AT,321290,352.95236666666665,0.00021095868872105563
AT,321410,13.196875,7.887737009693794e-06
AT,321490,5.381666666666667,3.216607821207832e-06
AT,321511,3.6944999999999997,2.2081928018802726e-06
AT,321519,7.933875,4.742055938832819e-06
AT,321590,35.3715,2.1141451263150104e-05
AT,330112,3.443,2.057871922282793e-06
AT,330119,11.592,6.928507500174888e-06
AT,330129,580.2561333333334,0.000346817544153078
AT,330190,62.33945833333333,3.7260128072751886e-05
AT,330210,366.0702,0.00021879918273727753
AT,330290,10.494,6.272235827021676e-06
AT,330300,3.4749999999999996,2.0769982369830687e-06
AT,330410,1.06992,6.394883320037194e-07
AT,330420,43.2498,2.5850290172624557e-05
AT,330430,10.5745,6.320350462439557e-06
AT,330491,10.062,6.0140305785679535e-06
AT,330499,129.27003333333334,7.726435433901464e-05
AT,330510,11.951285714285714,7.1432516138855725e-06
AT,330520,14.324357142857142,8.561630081044637e-06
AT,330590,56.64826666666667,3.385851798411897e-05
AT,330610,6.087,3.6381836743930763e-06
AT,330690,128.32928571428573,7.670207199478215e-05
AT,330710,0.0,0.0
AT,330730,5.7885,3.4597710200795667e-06
AT,330741,3.445,2.05906731695156e-06
AT,330749,19.497,1.165330492847738e-05
AT,330790,27.431666666666665,1.6395834044366582e-05
AT,340111,10.222,6.109662152069332e-06
AT,340119,13.978333333333333,8.354812572458992e-06
AT,340120,2.428666666666667,1.4516075927730112e-06
AT,340130,4.036333333333333,2.4125056740170726e-06
AT,340231,2.348,1.4033933411327325e-06
AT,340239,10.8,6.455131211343064e-06
AT,340242,59.25509999999999,3.5416615318634655e-05
AT,340249,27.375,1.6361964528751513e-05
AT,340250,35.93493333333333,2.1478213864586315e-05
AT,340290,111.91941379310344,6.689393528991495e-05
AT,340311,3.2143333333333337,1.9211984651537396e-06
AT,340319,76.98556666666667,4.6014067982678904e-05
AT,340391,15.3435,9.170769050115027e-06
AT,340399,78.40426666666667,4.686202119096894e-05
AT,340490,88.32884615384616,5.279391589533444e-05
AT,340510,22.13025,1.322719143424304e-05
AT,340520,3.17,1.8947005499960657e-06
AT,340590,106.96346153846154,6.3931775837983e-05
AT,340600,5.27825,3.154795955210326e-06
AT,340700,66.30492592592593,3.96302774824291e-05
AT,350220,73.5065,4.393463910986934e-05
AT,350290,8.557,5.11449609032061e-06
AT,350300,2.044,1.2216933514801131e-06
AT,350400,14.756499999999999,8.819920714831843e-06
AT,350510,696.6901666666666,0.00041640985550794445
AT,350520,183.60979310344828,0.00010974308390465845
AT,350610,18.67,1.1159009232942128e-05
AT,350691,18.51421052631579,1.1065894279796049e-05
AT,350699,4.2366,2.5322045268496314e-06
AT,350790,1368.8297857142857,0.0008181459141463261
AT,360350,1384.0478333333333,0.0008272417006427538
AT,360490,2.564,1.5324959653595939e-06
AT,360690,67.06711538461538,4.0085836090183076e-05
AT,370120,4.776,2.8546024690161543e-06
AT,370199,26.090740740740742,1.5594366192834777e-05
AT,370252,28.771,1.7196350007551045e-05
AT,370253,4.292,2.5653169591744837e-06
AT,370254,24.322714285714287,1.453762149354575e-05
AT,370256,25.2055,1.5065260161806256e-05
AT,370400,10.582,6.324833192447435e-06
AT,370500,32.98533333333334,1.9715245807088402e-05
AT,370710,23.60322222222222,1.4107583005086372e-05
AT,370790,8.564875,5.119202956828881e-06
AT,380110,228.397,0.00013651227808121494
AT,380190,5.557285714285714,3.321574857836726e-06
AT,380859,5.145875,3.075675770571295e-06
AT,380891,449.1965,0.00026848355066445037
AT,380892,772.3553529411764,0.0004616347356498588
AT,380893,1389.92,0.0008307514790064769
AT,380894,5.568117647058823,3.3280490751814357e-06
AT,380899,177.35714285714286,0.00010600589151960864
AT,380910,171.1722,0.00010230916766057936
AT,380991,2.016,1.2049578261173717e-06
AT,381090,5.256333333333333,3.141696421965085e-06
AT,381210,96.13461538461539,5.745940335737887e-05
AT,381220,19.148222222222223,1.144484138040736e-05
AT,381239,39.288500000000006,2.3482631721930737e-05
AT,381300,2.276,1.360359133057112e-06
AT,381400,6.46655,3.865039697658378e-06
AT,381511,27.216,1.626693065258452e-05
AT,381512,181.427,0.00010843843428521647
AT,381519,357.97337500000003,0.00021395973201780691
AT,381590,95.27850000000001,5.694770547406945e-05
AT,381600,2366.377033333333,0.0014143772449699446
AT,381800,30.70376666666667,1.835155949220322e-05
AT,381900,6.8066,4.0682866762155276e-06
AT,382000,5.100333333333333,3.048455637801241e-06
AT,382100,528.6475185185185,0.00031597121264703227
AT,382211,3.4619999999999997,2.0692281716360818e-06
AT,382212,7611.7895,0.004549546294039204
AT,382213,95.124,5.685536123590717e-05
AT,382219,3141.3912333333333,0.001877601166419396
AT,382290,99.71883333333334,5.96016808711775e-05
AT,382312,8.7728,5.2434791750805946e-06
AT,382313,13.232,7.908731128564019e-06
AT,382430,37.448,2.238256977799769e-05
AT,382440,13.733666666666666,8.2085759579798e-06
AT,382450,8.193999999999999,4.897531957939357e-06
AT,382482,2.842,1.6986558243182394e-06
AT,382499,1200.7921333333334,0.0007177102572421501
AT,382600,18.225,1.089303391914142e-05
AT,390110,297.58363333333335,0.000177864944399525
AT,390120,184.50193103448274,0.00011027631236794026
AT,390140,129.36880952380952,7.732339260476282e-05
AT,390190,127.34791304347826,7.61155081654036e-05
AT,390210,438.5408,0.0002621146671784589
AT,390230,358.5711333333333,0.0002143170105802458
AT,390290,2.2270000000000003,1.3310719636723151e-06
AT,390311,120.64377272727273,7.210846136907381e-05
AT,390319,29.538999999999998,1.765538156035766e-05
AT,390320,0.615,3.675838606459244e-07
AT,390330,34.9465,2.0887429896037068e-05
AT,390390,121.51314814814815,7.262808474070969e-05
AT,390422,15.633999999999999,9.344400125753466e-06
AT,390450,8.218666666666666,4.9122751588541525e-06
AT,390461,0.42000000000000004,2.5103288044111915e-07
AT,390469,6.035,3.607103413005128e-06
AT,390529,7.308,4.367972119675472e-06
AT,390610,2.211,1.321508806322177e-06
AT,390690,522.3502666666667,0.0003122073620012382
AT,390710,7.204250000000001,4.305961021233173e-06
AT,390721,1.3901,8.308590645266658e-07
AT,390729,597.41544,0.00035707361600761565
AT,390730,115.36451851851852,6.895306520096793e-05
AT,390740,2.581,1.5426568200441153e-06
AT,390750,277.65849999999995,0.00016595574531895347
AT,390761,41.8675,2.502409314730608e-05
AT,390769,3.75925,2.2468937042816123e-06
AT,390770,0.491,2.9346939118235593e-07
AT,390791,12.82975,7.66830737580821e-06
AT,390799,381.6597333333333,0.00022811700525489538
AT,390810,27.927,1.669189345733127e-05
AT,390890,20.504909090909088,1.2255729505414756e-05
AT,390910,0.343,2.050101856935806e-07
AT,390920,10.689333333333332,6.388986039671275e-06
AT,390931,2.4550000000000005,1.4673469559117798e-06
AT,390939,22.170909090909092,1.3251493264497863e-05
AT,390940,2.044,1.2216933514801131e-06
AT,390950,252.73680000000002,0.00015106011166064534
AT,391000,74.52672413793104,4.4544424357584546e-05
AT,391190,764.8443,0.0004571453993285034
AT,391211,44.7185,2.6728128247633774e-05
AT,391231,66.225,3.9582505969555026e-05
AT,391239,2.4572857142857143,1.4687131212475135e-06
AT,391290,10.016666666666667,5.986934966075897e-06
AT,391390,5704.1946333333335,0.003409381927148667
AT,391400,432.591,0.00025855848757834325
AT,391590,2.782,1.6627939842552222e-06
AT,391610,41.27066666666666,2.4667367454901457e-05
AT,391620,7.0254642857142855,4.19910127637873e-06
AT,391690,212.99576666666664,0.0001273070019716615
AT,391710,0.53625,3.205151955632146e-07
AT,391721,213.76041379310348,0.0001277640295208769
AT,391722,302.93469999999996,0.00018106326268230066
AT,391723,15.55857894736842,9.299321163639166e-06
AT,391729,602.1876666666667,0.00035992596316535675
AT,391731,51.487766666666666,3.077410089003231e-05
AT,391732,186.22923333333335,0.00011130871634763797
AT,391733,164.36163333333334,9.823851011827078e-05
AT,391739,108.90093333333333,6.50897975652213e-05
AT,391740,1122.2709,0.0006707783253863027
AT,391810,10.650333333333332,6.365675843630314e-06
AT,391890,2.348333333333333,1.403592573577527e-06
AT,391910,13.4769,8.055107205754567e-06
AT,391990,196.37103333333334,0.00011737044317348972
AT,392010,199.6195,0.00011931204304099041
AT,392020,352.60139999999996,0.00021074891687993143
AT,392030,246.52572413793104,0.00014734776817423227
AT,392043,9.53152,5.696964096624133e-06
AT,392049,65.66946666666666,3.925046517706045e-05
AT,392051,46.874647058823534,2.8016851597231674e-05
AT,392059,12.721909090909092,7.603851151907068e-06
AT,392061,5.93775,3.5489773472363217e-06
AT,392062,477.17900000000003,0.00028520861632383996
AT,392063,8.586384615384615,5.132059196607883e-06
AT,392069,22.1308,1.322752016777695e-05
AT,392079,1176.6321333333333,0.0007032698896434419
AT,392092,166.9779655172414,9.980228489045468e-05
AT,392094,6.166666666666667,3.685800228698971e-06
AT,392099,497.3877,0.00029728730244519815
AT,392111,10.284133333333333,6.146799079779034e-06
AT,392112,5.881142857142857,3.5151434088435342e-06
AT,392113,435.8695,0.0002605180382891199
AT,392119,115.84073333333335,6.923769752637675e-05
AT,392190,787.6898,0.0004708000937811643
AT,392210,7.190250000000001,4.297593258551802e-06
AT,392220,36.76656666666667,2.1975278891104213e-05
AT,392290,18.979100000000003,1.1343757479000105e-05
AT,392310,190.33610000000002,0.00011376337960697356
AT,392321,67.52656666666667,4.0360448896744266e-05
AT,392329,69.1828,4.135037514519489e-05
AT,392330,1663.0182333333332,0.0009939815650946851
AT,392340,4.3736875,2.6141413601769454e-06
AT,392350,495.1405666666667,0.0002959441968418603
AT,392390,2120.0421333333334,0.00126714353187429
AT,392410,49.5715,2.9628753411397466e-05
AT,392490,16.019959999999998,9.575087388932166e-06
AT,392510,284.2423333333333,0.00016989088495231283
AT,392520,23.57272222222222,1.4089353236387672e-05
AT,392530,3.7045,2.214169775224109e-06
AT,392590,24.606964285714287,1.4707516960844292e-05
AT,392610,3.2567368421052634,1.9465429293152344e-06
