Country,Level 1 Index,Time,Indprod Index Value (I21)
AT,B,2012-07,122.9
AT,B,2012-08,122.1
AT,B,2012-09,122.5
AT,B,2012-10,121.6
AT,B,2012-11,124.2
AT,B,2012-12,109.7
AT,B,2013-01,85.4
AT,B,2013-02,78.3
AT,B,2013-03,97.2
AT,B,2013-04,113.5
AT,B,2013-05,115.0
AT,B,2013-06,119.4
AT,B,2013-07,124.8
AT,B,2013-08,114.1
AT,B,2013-09,120.4
AT,B,2013-10,126.5
AT,B,2013-11,99.8
AT,B,2013-12,103.1
AT,B,2014-01,75.1
AT,B,2014-02,72.2
AT,B,2014-03,83.4
AT,B,2014-04,106.4
AT,B,2014-05,100.2
AT,B,2014-06,99.9
AT,B,2014-07,110.2
AT,B,2014-08,103.4
AT,B,2014-09,102.3
AT,B,2014-10,113.9
AT,B,2014-11,103.8
AT,B,2014-12,92.1
AT,B,2015-01,85.0
AT,B,2015-02,83.8
AT,B,2015-03,105.6
AT,B,2015-04,105.5
AT,B,2015-05,88.9
AT,B,2015-06,101.2
AT,B,2015-07,108.0
AT,B,2015-08,98.0
AT,B,2015-09,105.7
AT,B,2015-10,104.6
AT,B,2015-11,103.4
AT,B,2015-12,95.2
AT,B,2016-01,82.4
AT,B,2016-02,78.0
AT,B,2016-03,98.6
AT,B,2016-04,102.0
AT,B,2016-05,100.7
AT,B,2016-06,106.3
AT,B,2016-07,108.5
AT,B,2016-08,107.3
AT,B,2016-09,111.6
AT,B,2016-10,110.8
AT,B,2016-11,119.7
AT,B,2016-12,96.6
AT,B,2017-01,82.4
AT,B,2017-02,94.6
AT,B,2017-03,114.6
AT,B,2017-04,114.4
AT,B,2017-05,110.5
AT,B,2017-06,107.9
AT,B,2017-07,107.9
AT,B,2017-08,107.9
AT,B,2017-09,106.7
AT,B,2017-10,108.9
AT,B,2017-11,111.4
AT,B,2017-12,94.6
AT,B,2018-01,89.1
AT,B,2018-02,81.0
AT,B,2018-03,109.5
AT,B,2018-04,118.9
AT,B,2018-05,117.4
AT,B,2018-06,117.8
AT,B,2018-07,118.3
AT,B,2018-08,116.0
AT,B,2018-09,110.2
AT,B,2018-10,119.2
AT,B,2018-11,117.7
AT,B,2018-12,106.6
AT,B,2019-01,89.7
AT,B,2019-02,81.9
AT,B,2019-03,100.6
AT,B,2019-04,104.5
AT,B,2019-05,103.6
AT,B,2019-06,99.7
AT,B,2019-07,104.5
AT,B,2019-08,96.5
AT,B,2019-09,99.5
AT,B,2019-10,109.8
AT,B,2019-11,100.0
AT,B,2019-12,90.3
AT,B,2020-01,87.8
AT,B,2020-02,80.3
AT,B,2020-03,90.3
AT,B,2020-04,82.4
AT,B,2020-05,85.1
AT,B,2020-06,87.3
AT,B,2020-07,95.3
AT,B,2020-08,88.3
AT,B,2020-09,96.4
AT,B,2020-10,98.8
AT,B,2020-11,101.2
AT,B,2020-12,87.1
AT,B,2021-01,70.3
AT,B,2021-02,70.3
AT,B,2021-03,93.2
AT,B,2021-04,88.7
AT,B,2021-05,92.5
AT,B,2021-06,104.0
AT,B,2021-07,106.0
AT,B,2021-08,104.5
AT,B,2021-09,111.9
AT,B,2021-10,121.2
AT,B,2021-11,118.6
AT,B,2021-12,118.9
AT,B,2022-01,90.1
AT,B,2022-02,83.8
AT,B,2022-03,115.8
AT,B,2022-04,105.8
AT,B,2022-05,112.3
AT,B,2022-06,104.6
AT,B,2022-07,125.0
AT,B,2022-08,145.8
AT,B,2022-09,136.9
AT,B,2022-10,104.0
AT,B,2022-11,107.1
AT,B,2022-12,100.7
AT,B,2023-01,78.5
AT,B,2023-02,76.5
AT,B,2023-03,91.7
AT,B,2023-04,83.3
AT,B,2023-05,89.4
AT,B,2023-06,91.7
AT,B,2023-07,85.6
AT,B,2023-08,84.2
AT,B,2023-09,82.8
AT,B,2023-10,87.4
AT,B,2023-11,92.1
AT,B,2023-12,72.8
AT,B,2024-01,61.4
AT,B,2024-02,67.4
AT,B,2024-03,77.5
AT,B,2024-04,81.3
AT,B,2024-05,79.2
AT,B,2024-06,83.7
AT,B,2024-07,92.1
AT,B,2024-08,86.6
AT,B,2024-09,85.8
AT,B,2024-10,95.1
AT,B,2024-11,102.2
AT,B,2024-12,78.4
AT,B,2025-01,65.3
AT,B,2025-02,71.3
AT,B,2025-03,84.6
AT,B,2025-04,84.1
AT,B,2025-05,87.3
AT,B,2025-06,82.7
AT,B,2025-07,89.3
AT,B,2025-08,82.9
AT,C,1996-01,39.5
AT,C,1996-02,41.8
AT,C,1996-03,45.4
AT,C,1996-04,44.1
AT,C,1996-05,45.0
AT,C,1996-06,44.6
AT,C,1996-07,46.1
AT,C,1996-08,38.2
AT,C,1996-09,49.7
AT,C,1996-10,50.4
AT,C,1996-11,47.0
AT,C,1996-12,44.7
AT,C,1997-01,40.8
AT,C,1997-02,42.9
AT,C,1997-03,46.6
AT,C,1997-04,49.9
AT,C,1997-05,43.4
AT,C,1997-06,50.5
AT,C,1997-07,48.6
AT,C,1997-08,40.7
AT,C,1997-09,54.7
AT,C,1997-10,54.8
AT,C,1997-11,51.1
AT,C,1997-12,49.9
AT,C,1998-01,43.3
AT,C,1998-02,47.2
AT,C,1998-03,55.5
AT,C,1998-04,52.6
AT,C,1998-05,51.3
AT,C,1998-06,53.9
AT,C,1998-07,53.8
AT,C,1998-08,44.4
AT,C,1998-09,60.6
AT,C,1998-10,56.8
AT,C,1998-11,56.5
AT,C,1998-12,51.5
AT,C,1999-01,43.2
AT,C,1999-02,48.2
AT,C,1999-03,59.2
AT,C,1999-04,54.8
AT,C,1999-05,53.2
AT,C,1999-06,58.6
AT,C,1999-07,53.9
AT,C,1999-08,49.3
AT,C,1999-09,63.3
AT,C,1999-10,59.3
AT,C,1999-11,65.8
AT,C,1999-12,59.0
AT,C,2000-01,47.3
AT,C,2000-02,56.7
AT,C,2000-03,65.2
AT,C,2000-04,57.0
AT,C,2000-05,66.0
AT,C,2000-06,60.5
AT,C,2000-07,59.3
AT,C,2000-08,54.5
AT,C,2000-09,66.5
