Country,Time,USD-DKK Spot Exchange Rate
DK,1971-01,0.13360767442481897
DK,1971-02,0.13359339514254415
DK,1971-03,0.13367554272270346
DK,1971-04,0.13353452535152965
DK,1971-05,0.13333688898370624
DK,1971-06,0.13342406169528612
DK,1971-07,0.13334577893936767
DK,1971-08,0.13433637829124126
DK,1971-09,0.13672222146265434
DK,1971-10,0.13767657020128315
DK,1971-11,0.13775243133041298
DK,1971-12,0.13992863639543834
DK,1972-01,0.14218481181840156
DK,1972-02,0.14306151645207438
DK,1972-03,0.14360594528613485
DK,1972-04,0.14301241347748986
DK,1972-05,0.14331780723754928
DK,1972-06,0.1433342411168604
DK,1972-07,0.14368435421067
DK,1972-08,0.14438139790069449
DK,1972-09,0.14384142920844062
DK,1972-10,0.14453164520371736
DK,1972-11,0.14509365795621074
DK,1972-12,0.1460067163089502
DK,1973-01,0.14535517537101908
DK,1973-02,0.15361691014946927
DK,1973-03,0.16273657830070465
DK,1973-04,0.1609761594307883
DK,1973-05,0.16246689736966094
DK,1973-06,0.17127100210663332
DK,1973-07,0.1803914494452963
DK,1973-08,0.17512828146617399
DK,1973-09,0.17479156106343186
DK,1973-10,0.17690661100005306
DK,1973-11,0.1673584147810952
DK,1973-12,0.16088551386833128
DK,1974-01,0.1497566454511419
DK,1974-02,0.1556420233463035
DK,1974-03,0.16027952749595295
DK,1974-04,0.16492941021242907
DK,1974-05,0.17010274205620193
DK,1974-06,0.16752383026485518
DK,1974-07,0.16856868331001468
DK,1974-08,0.16544786737698952
DK,1974-09,0.16109804426974256
DK,1974-10,0.1659062629614268
DK,1974-11,0.1699524133242692
DK,1974-12,0.17312419930057824
DK,1975-01,0.1781388057574462
DK,1975-02,0.18060321473722232
DK,1975-03,0.18396217737633141
DK,1975-04,0.1811758311441254
DK,1975-05,0.18297926844888476
DK,1975-06,0.18391481065970244
DK,1975-07,0.174678591391839
DK,1975-08,0.1678331067586392
DK,1975-09,0.16440878600552414
DK,1975-10,0.16599438938963862
DK,1975-11,0.16562598340427645
DK,1975-12,0.16252498821693837
DK,1976-01,0.16230867864504714
DK,1976-02,0.16277631279096266
DK,1976-03,0.16271274691659343
DK,1976-04,0.16552728717329052
DK,1976-05,0.16486415193880244
DK,1976-06,0.16314012104996983
DK,1976-07,0.16225074229714603
DK,1976-08,0.16447368421052633
DK,1976-09,0.166925401038276
DK,1976-10,0.1696755802904846
DK,1976-11,0.16933940697339678
DK,1976-12,0.17143836790673753
DK,1977-01,0.16964967342437867
DK,1977-02,0.16890750624957773
DK,1977-03,0.17038097185306345
DK,1977-04,0.16709833737154317
DK,1977-05,0.16638104587125435
DK,1977-06,0.16544513012259485
DK,1977-07,0.16767551434464026
DK,1977-08,0.1658787426391308
DK,1977-09,0.16188302332734367
DK,1977-10,0.16359115299044627
DK,1977-11,0.16326530612244897
DK,1977-12,0.16827368031366213
DK,1978-01,0.1732321657485362
DK,1978-02,0.17608423869979398
DK,1978-03,0.17838348882427443
DK,1978-04,0.17804682631532093
DK,1978-05,0.1753493836469165
DK,1978-06,0.17722954771019422
DK,1978-07,0.17845670640302663
DK,1978-08,0.18169264871543298
DK,1978-09,0.18409086725207563
DK,1978-10,0.19564494355643378
DK,1978-11,0.19018999980981
DK,1978-12,0.1905560425321087
DK,1979-01,0.19486340075606998
DK,1979-02,0.1942200124300808
DK,1979-03,0.19269307846462153
DK,1979-04,0.1895734597156398
DK,1979-05,0.18559073531049328
DK,1979-06,0.18395879323031641
DK,1979-07,0.19070867343046763
DK,1979-08,0.18964176670269858
DK,1979-09,0.19276736833988745
DK,1979-10,0.19107306634056864
DK,1979-11,0.19032030908018197
DK,1979-12,0.18617813523979743
DK,1980-01,0.1856699901594905
DK,1980-02,0.18326094525995565
DK,1980-03,0.17313319136411642
DK,1980-04,0.17091387649763284
DK,1980-05,0.1785778063502268
DK,1980-06,0.18214936247723132
DK,1980-07,0.18485655131617865
DK,1980-08,0.1806913250094863
DK,1980-09,0.18067500180675003
DK,1980-10,0.17632952461560164
DK,1980-11,0.16960651289009498
DK,1980-12,0.16570557433552066
DK,1981-01,0.16170763260025872
DK,1981-02,0.15150137866254582
DK,1981-03,0.15106196561829663
DK,1981-04,0.14679545521270662
DK,1981-05,0.1386135869037883
DK,1981-06,0.13382043973396499
DK,1981-07,0.13073262563405322
DK,1981-08,0.12728800183294722
DK,1981-09,0.13543712331550078
DK,1981-10,0.1382208215845635
DK,1981-11,0.13943112102621305
DK,1981-12,0.13659336156262805
DK,1982-01,0.13337423476532803
DK,1982-02,0.12828736369467608
DK,1982-03,0.12438429772625503
DK,1982-04,0.12256253753477711
DK,1982-05,0.12747947580439548
DK,1982-06,0.11978773613157484
DK,1982-07,0.11709327650406313
DK,1982-08,0.11563099835803983
DK,1982-09,0.11358731456870896
DK,1982-10,0.11211767871557987
DK,1982-11,0.11161337128187956
DK,1982-12,0.11726766344180592
DK,1983-01,0.1188057644556914
DK,1983-02,0.11653517614291875
DK,1983-03,0.11597833524697587
DK,1983-04,0.11538949724796049
DK,1983-05,0.11363248980148404
DK,1983-06,0.10954462300217993
DK,1983-07,0.1073629511928024
DK,1983-08,0.10383353407816588
DK,1983-09,0.10424702374747202
DK,1983-10,0.10618867603958715
DK,1983-11,0.10331539089378144
DK,1983-12,0.10047221943132724
DK,1984-01,0.0982385822207814
DK,1984-02,0.10147236400166414
DK,1984-03,0.10506960861570791
DK,1984-04,0.102763305278951
DK,1984-05,0.09938579578206683
DK,1984-06,0.09950149749753734
DK,1984-07,0.09598863494562244
