Country,Time,USD-SKK Spot Exchange Rate
SE,1971-01,0.19365264718327385
SE,1971-02,0.19332492011921704
SE,1971-03,0.19369350781469089
SE,1971-04,0.19368533000898877
SE,1971-05,0.19357242754342074
SE,1971-06,0.19370425938056898
SE,1971-07,0.19371389196115021
SE,1971-08,0.19501205059759724
SE,1971-09,0.1973124169643579
SE,1971-10,0.1991353334206734
SE,1971-11,0.1998866642613638
SE,1971-12,0.20433563056117995
SE,1972-01,0.2073050345508391
SE,1972-02,0.20857667278491576
SE,1972-03,0.2095568874059955
SE,1972-04,0.20906921340844495
SE,1972-05,0.21032243385120453
SE,1972-06,0.21100850556103326
SE,1972-07,0.21134321292406014
SE,1972-08,0.21160302169114972
SE,1972-09,0.21145448970745273
SE,1972-10,0.2107836937734497
SE,1972-11,0.21075659510075218
SE,1972-12,0.21080168936473856
SE,1973-01,0.21092010058971342
SE,1973-02,0.21918208551754367
SE,1973-03,0.22576606530796545
SE,1973-04,0.2216101560768671
SE,1973-05,0.22559220517405978
SE,1973-06,0.23741341476236613
SE,1973-07,0.24729011251700117
SE,1973-08,0.24063359872778065
SE,1973-09,0.23768628662714406
SE,1973-10,0.2394120041178865
SE,1973-11,0.2301035235752565
SE,1973-12,0.22025097598713736
SE,1974-01,0.20776924769588623
SE,1974-02,0.2137064172475326
SE,1974-03,0.21906924778922618
SE,1974-04,0.22725371120804977
SE,1974-05,0.23384925439291138
SE,1974-06,0.22883609385941228
SE,1974-07,0.22859826660168933
SE,1974-08,0.22595342072937763
SE,1974-09,0.22332295625996582
SE,1974-10,0.22756705987496226
SE,1974-11,0.2317300190791049
SE,1974-12,0.23891790666956403
SE,1975-01,0.24747157170320055
SE,1975-02,0.2514517848187382
SE,1975-03,0.25480643810933623
SE,1975-04,0.2516969522931309
SE,1975-05,0.2542160521699761
SE,1975-06,0.25532132188359047
SE,1975-07,0.24195818962483281
SE,1975-08,0.23173487764398462
SE,1975-09,0.22495669583605155
SE,1975-10,0.22766738209416737
SE,1975-11,0.22787470644376054
SE,1975-12,0.226853470187845
SE,1976-01,0.228313232708806
SE,1976-02,0.22860481213129538
SE,1976-03,0.22702147820593813
SE,1976-04,0.22709021055391432
SE,1976-05,0.22652006288196944
SE,1976-06,0.224744812481101
SE,1976-07,0.2237932746923908
SE,1976-08,0.2265917815160844
SE,1976-09,0.2299600745508661
SE,1976-10,0.23510879659562461
SE,1976-11,0.236988401288718
SE,1976-12,0.2405047672227555
SE,1977-01,0.23729644767217836
SE,1977-02,0.2354270646953574
SE,1977-03,0.23725991617504005
SE,1977-04,0.23002758140237958
SE,1977-05,0.22961761013991366
SE,1977-06,0.2262492299813139
SE,1977-07,0.2298947928829412
SE,1977-08,0.22446776740454752
SE,1977-09,0.20601909306471058
SE,1977-10,0.20846275395975003
SE,1977-11,0.2084821511846724
SE,1977-12,0.21042189590128207
SE,1978-01,0.21412315548196065
SE,1978-02,0.2155376286789579
SE,1978-03,0.21692505899418452
SE,1978-04,0.21730391038386732
SE,1978-05,0.2149065010193406
SE,1978-06,0.21689065556186513
SE,1978-07,0.22011789514463945
SE,1978-08,0.22520890573930208
SE,1978-09,0.22591620316192318
SE,1978-10,0.233395572152574
SE,1978-11,0.22853094594671802
SE,1978-12,0.2280423702723966
SE,1979-01,0.22985863693828293
SE,1979-02,0.2289741322834445
SE,1979-03,0.22900636221311746
SE,1979-04,0.22771509588432073
SE,1979-05,0.22755176026801463
SE,1979-06,0.2302543213802102
SE,1979-07,0.23685590701713818
SE,1979-08,0.23693094081156055
SE,1979-09,0.23859005832899058
SE,1979-10,0.23744380946213584
SE,1979-11,0.23676455011620157
SE,1979-12,0.23934753860974983
SE,1980-01,0.2411170294381973
SE,1980-02,0.23973402141203337
SE,1980-03,0.23001347221765842
SE,1980-04,0.2286094311781699
SE,1980-05,0.23729886096546737
SE,1980-06,0.23994515539305303
SE,1980-07,0.24237750296086152
SE,1980-08,0.23952915411990147
SE,1980-09,0.24072216649949849
SE,1980-10,0.23843327661511454
SE,1980-11,0.23239441433190025
SE,1980-12,0.22720231333264485
SE,1981-01,0.2248357895751139
SE,1981-02,0.2173283106345987
SE,1981-03,0.2170245928322696
SE,1981-04,0.21306618707404923
SE,1981-05,0.20447806972702176
SE,1981-06,0.19800910841898728
SE,1981-07,0.19292065089750043
SE,1981-08,0.1886783976711695
SE,1981-09,0.18415075808728745
SE,1981-10,0.18020491873616282
SE,1981-11,0.18216871859487194
SE,1981-12,0.1804706181528832
SE,1982-01,0.1779153656605553
SE,1982-02,0.1736730893548045
SE,1982-03,0.17134832507012243
SE,1982-04,0.16907924821217907
SE,1982-05,0.17274812028451614
SE,1982-06,0.1659901311322036
SE,1982-07,0.16350874187809256
SE,1982-08,0.1627580084338241
SE,1982-09,0.16047868499180415
SE,1982-10,0.1397762843785289
SE,1982-11,0.13316512475469583
SE,1982-12,0.13595188485466447
SE,1983-01,0.13656227239621266
SE,1983-02,0.13443523052104267
SE,1983-03,0.13354390691409063
SE,1983-04,0.13343754169923178
SE,1983-05,0.13337143945889302
SE,1983-06,0.13097459985771395
SE,1983-07,0.12997731895784187
SE,1983-08,0.1272500435693084
SE,1983-09,0.126946896904007
SE,1983-10,0.1284620523097477
SE,1983-11,0.12626010911531535
SE,1983-12,0.12405701896890896
SE,1984-01,0.1222757259393396
SE,1984-02,0.12503660611165768
SE,1984-03,0.1293273215723851
SE,1984-04,0.12747901149132232
SE,1984-05,0.12379058009953887
SE,1984-06,0.123467677925743
SE,1984-07,0.120391099084741
SE,1984-08,0.11977638270116575
SE,1984-09,0.11642477886951542
SE,1984-10,0.11509255795825801
SE,1984-11,0.11633780825692286
SE,1984-12,0.11284930386085683
SE,1985-01,0.11023361652874342
SE,1985-02,0.10710747342395815
SE,1985-03,0.10622987639395096
SE,1985-04,0.1111776492496772
SE,1985-05,0.11124117339212261
SE,1985-06,0.1129107835443824
SE,1985-07,0.11805931944168674
SE,1985-08,0.12032838710736027
SE,1985-09,0.11917885767064922
SE,1985-10,0.12569525186186092
SE,1985-11,0.1279969819658989
SE,1985-12,0.1301796789521156
SE,1986-01,0.13168538480350658
SE,1986-02,0.1351399409651837
SE,1986-03,0.13772162524634135
SE,1986-04,0.1380578399595867
SE,1986-05,0.13994308981014386
SE,1986-06,0.13864909564476782
SE,1986-07,0.14141180402895084
SE,1986-08,0.14416492467382686
SE,1986-09,0.14452657224263948
SE,1986-10,0.14513548727590586
SE,1986-11,0.1435063381966037
SE,1986-12,0.144757317646904
SE,1987-01,0.15108478878346526
SE,1987-02,0.15380879138670767
SE,1987-03,0.15575882869360824
SE,1987-04,0.15824366791559286
SE,1987-05,0.15972846161525406
SE,1987-06,0.1575248549160285
SE,1987-07,0.15512084250850636
SE,1987-08,0.15408829259165502
SE,1987-09,0.15663284143162418
SE,1987-10,0.15733047641166642
SE,1987-11,0.16462545542765794
SE,1987-12,0.1681442983797004
SE,1988-01,0.1673654909974983
SE,1988-02,0.16522303043821276
SE,1988-03,0.16807459589021076
SE,1988-04,0.16980331116456773
SE,1988-05,0.16922996337380078
SE,1988-06,0.16373677081317636
SE,1988-07,0.15737560442068071
SE,1988-08,0.15413586741634777
SE,1988-09,0.1551636237356012
SE,1988-10,0.1595042607575655
SE,1988-11,0.16402046975462536
SE,1988-12,0.16423571735815118
SE,1989-01,0.15942606616181745
SE,1989-02,0.15813303149344163
SE,1989-03,0.15641470298208032
SE,1989-04,0.15701236864934034
SE,1989-05,0.15207653597301335
SE,1989-06,0.14954033340697062
SE,1989-07,0.15467246172823274
SE,1989-08,0.15271686624990455
SE,1989-09,0.1512790644902652
SE,1989-10,0.1548467017652524
SE,1989-11,0.15550544824445456
SE,1989-12,0.15893324009249915
SE,1990-01,0.16187403887289417
SE,1990-02,0.16326600758757287
SE,1990-03,0.16211934194285293
SE,1990-04,0.16350492266606456
SE,1990-05,0.165126115070385
SE,1990-06,0.16421324262506598
SE,1990-07,0.16815066299404266
SE,1990-08,0.17314713742613017
SE,1990-09,0.17342095655348666
SE,1990-10,0.17726996200782405
SE,1990-11,0.1797502370456251
SE,1990-12,0.1775000887500444
SE,1991-01,0.17747728713289668
SE,1991-02,0.180128934395146
SE,1991-03,0.16925928911098573
SE,1991-04,0.16354567012838334
SE,1991-05,0.16239518129207509
SE,1991-06,0.1556777625991959
SE,1991-07,0.15477698044181795
SE,1991-08,0.1579512289682554
SE,1991-09,0.16220205510003813
SE,1991-10,0.16246533765097276
SE,1991-11,0.16878836603978076
SE,1991-12,0.17495480334246985
SE,1992-01,0.17403194729318167
SE,1992-02,0.1701731287673196
SE,1992-03,0.16593879875395046
SE,1992-04,0.1675960630161197
SE,1992-05,0.17105274411364746
SE,1992-06,0.17608170190968608
SE,1992-07,0.1848978640277186
SE,1992-08,0.18959057464000362
SE,1992-09,0.18627177051317872
SE,1992-10,0.17855275341099527
SE,1992-11,0.15992794825068285
SE,1992-12,0.14513165750248208
SE,1993-01,0.1378619783919489
SE,1993-02,0.1323354774002347
SE,1993-03,0.12926322770279575
SE,1993-04,0.13422900688838857
SE,1993-05,0.13647917839534607
SE,1993-06,0.13415493065104778
SE,1993-07,0.12530954441029923
SE,1993-08,0.12427658318481342
SE,1993-09,0.12473523461509675
SE,1993-10,0.12469605336991085
SE,1993-11,0.12097676641201058
SE,1993-12,0.11975885772960115
SE,1994-01,0.12317622206209314
SE,1994-02,0.1252055182684736
SE,1994-03,0.12633336628986366
SE,1994-04,0.1268223158962714
SE,1994-05,0.12956484720602662
SE,1994-06,0.12825804586041326
SE,1994-07,0.12908139227189705
SE,1994-08,0.12916588043956836
SE,1994-09,0.13293107966622905
SE,1994-10,0.1376822568875549
SE,1994-11,0.13580147996452865
SE,1994-12,0.13304822998336896
SE,1995-01,0.13373543119646403
SE,1995-02,0.13529246314170462
SE,1995-03,0.13738643219382238
SE,1995-04,0.13613823476357892
SE,1995-05,0.13685226114148472
SE,1995-06,0.1376824292187148
SE,1995-07,0.13937573607810613
SE,1995-08,0.13815473330129746
SE,1995-09,0.140395705295375
SE,1995-10,0.14641135315464177
SE,1995-11,0.15131372739751198
SE,1995-12,0.15061851493156647
SE,1996-01,0.14835642277341735
SE,1996-02,0.14540272920922725
SE,1996-03,0.148549099721718
SE,1996-04,0.148940693169986
SE,1996-05,0.14709274531894054
SE,1996-06,0.14968435312035744
SE,1996-07,0.1506154008355047
SE,1996-08,0.15103334266993998
SE,1996-09,0.1505406290340184
SE,1996-10,0.15150054402468083
SE,1996-11,0.150899639826386
SE,1996-12,0.14644943798284726
SE,1997-01,0.1414591034995635
SE,1997-02,0.13500857659747123
SE,1997-03,0.1307161877682016
SE,1997-04,0.1299683349874758
SE,1997-05,0.13011273338971552
SE,1997-06,0.12902211070342856
SE,1997-07,0.12789626914955957
SE,1997-08,0.1251788268955651
SE,1997-09,0.1300609986083473
SE,1997-10,0.13198777793176353
SE,1997-11,0.1322847561661232
SE,1997-12,0.12824249489944622
SE,1998-01,0.12469939651727055
SE,1998-02,0.12388034983810796
SE,1998-03,0.12550716303608672
SE,1998-04,0.1278152767142643
SE,1998-05,0.12982603959824035
SE,1998-06,0.1263039447018366
SE,1998-07,0.12509041861780526
SE,1998-08,0.12302825255942704
SE,1998-09,0.12687748468407506
SE,1998-10,0.1275591555583902
SE,1998-11,0.12478187799353366
SE,1998-12,0.12389173214156995
SE,1999-01,0.12789746662044407
SE,1999-02,0.1257353865701372
SE,1999-03,0.1217371789578874
SE,1999-04,0.12005837019671017
SE,1999-05,0.11843920811545455
SE,1999-06,0.11755779034102447
SE,1999-07,0.11843930831443943
SE,1999-08,0.1210813666784079
SE,1999-09,0.12155978570746348
SE,1999-10,0.12271180825052844
SE,1999-11,0.11963761765611962
SE,1999-12,0.1177717583323519
SE,2000-01,0.11776135661082816
SE,2000-02,0.11563434108661591
SE,2000-03,0.1149807407259284
SE,2000-04,0.11430380694544223
SE,2000-05,0.1099808633297806
SE,2000-06,0.11432312912797434
SE,2000-07,0.11155758937436273
SE,2000-08,0.10779245733996336
SE,2000-09,0.10324952053503901
SE,2000-10,0.1000699059771755
SE,2000-11,0.09904408310647522
SE,2000-12,0.10351565027237555
SE,2001-01,0.10536276399643973
SE,2001-02,0.10254500511375748
SE,2001-03,0.09948714377384583
SE,2001-04,0.09800572353425441
SE,2001-05,0.09660626579457557
SE,2001-06,0.09265223644850742
SE,2001-07,0.09293433525397626
SE,2001-08,0.09677833343502072
SE,2001-09,0.09402630020090287
SE,2001-10,0.09464266586019643
SE,2001-11,0.09423556346506051
