Data Type;Country;Year;Month;HTS Number;Description;General Customs Value
General Customs Value;Luxembourg;2023;4;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;36.444
General Customs Value;Luxembourg;2024;4;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;93.993
General Customs Value;Luxembourg;2025;4;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;72.566
General Customs Value;Luxembourg;2022;5;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;20.775
General Customs Value;Luxembourg;2023;5;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;28.363
General Customs Value;Luxembourg;2024;5;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;60.71
General Customs Value;Luxembourg;2025;5;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;60.372
General Customs Value;Luxembourg;2021;6;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;7.004
General Customs Value;Luxembourg;2023;6;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;23.94
General Customs Value;Luxembourg;2024;6;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;53.025
General Customs Value;Luxembourg;2021;7;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;23.332
General Customs Value;Luxembourg;2022;7;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;24.144
General Customs Value;Luxembourg;2023;7;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;31.435
General Customs Value;Luxembourg;2024;7;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;54.52
General Customs Value;Luxembourg;2022;8;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;70.861
General Customs Value;Luxembourg;2023;8;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;35.621
General Customs Value;Luxembourg;2024;8;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;41.737
General Customs Value;Luxembourg;2021;9;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;33.946
General Customs Value;Luxembourg;2022;9;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;3.689
General Customs Value;Luxembourg;2023;9;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;42.087
General Customs Value;Luxembourg;2024;9;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;32.161
General Customs Value;Luxembourg;2020;10;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;115.242
General Customs Value;Luxembourg;2022;10;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;11.793
General Customs Value;Luxembourg;2023;10;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;56.828
General Customs Value;Luxembourg;2024;10;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;26.015
General Customs Value;Luxembourg;2021;11;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;6.298
General Customs Value;Luxembourg;2022;11;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;6.195
General Customs Value;Luxembourg;2023;11;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;29.723
General Customs Value;Luxembourg;2024;11;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;44.868
General Customs Value;Luxembourg;2022;12;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;9.331
General Customs Value;Luxembourg;2023;12;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;61.412
General Customs Value;Luxembourg;2024;12;170490;SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA, NESOI;83.481
General Customs Value;Luxembourg;2020;4;180400;COCOA BUTTER, FAT AND OIL;122.283
General Customs Value;Luxembourg;2020;1;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;63.72
General Customs Value;Luxembourg;2021;1;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;50.385
General Customs Value;Luxembourg;2022;1;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;179.066
General Customs Value;Luxembourg;2024;1;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;57.32
General Customs Value;Luxembourg;2025;1;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;53.492
General Customs Value;Luxembourg;2020;2;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;177.919
General Customs Value;Luxembourg;2021;2;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;114.234
General Customs Value;Luxembourg;2020;3;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;158.805
General Customs Value;Luxembourg;2021;3;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;45.481
General Customs Value;Luxembourg;2022;3;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;164.799
General Customs Value;Luxembourg;2024;3;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;6.971
General Customs Value;Luxembourg;2021;4;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;101.99
General Customs Value;Luxembourg;2022;4;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;281.738
General Customs Value;Luxembourg;2024;4;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;122.621
General Customs Value;Luxembourg;2025;4;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;19.842
General Customs Value;Luxembourg;2022;5;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;225.885
General Customs Value;Luxembourg;2023;5;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;6.091
General Customs Value;Luxembourg;2024;5;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;20.83
General Customs Value;Luxembourg;2025;5;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;61.608
General Customs Value;Luxembourg;2022;6;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;216.81
General Customs Value;Luxembourg;2024;6;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;33.939
General Customs Value;Luxembourg;2021;7;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;131.182
General Customs Value;Luxembourg;2022;7;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;236.369
General Customs Value;Luxembourg;2023;7;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;30.883
General Customs Value;Luxembourg;2024;7;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;35.477
General Customs Value;Luxembourg;2022;8;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;362.013
General Customs Value;Luxembourg;2021;9;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;94.739
General Customs Value;Luxembourg;2022;9;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;204.856
General Customs Value;Luxembourg;2023;9;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;62.9
General Customs Value;Luxembourg;2024;9;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;35.444
General Customs Value;Luxembourg;2022;10;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;222.118
General Customs Value;Luxembourg;2023;10;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;95.192
General Customs Value;Luxembourg;2021;11;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;259.275
General Customs Value;Luxembourg;2022;11;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;42.851
General Customs Value;Luxembourg;2023;11;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;56.382
General Customs Value;Luxembourg;2024;11;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;26.165
