Country,Stock Index,Time,Log Monthly Return,Volume
AT,^ATX,2024-11,0.0035721024269811,68289900
AT,^ATX,2024-12,0.0343618915553968,60087100
AT,^ATX,2025-01,0.0535160084134106,57974800
AT,^ATX,2025-02,0.0708347180643241,73953600
AT,^ATX,2025-03,-0.0174314832424949,83788600
AT,^ATX,2025-04,0.0056093378149299,73984700
AT,^ATX,2025-05,0.0768609277500908,60087100
AT,^ATX,2025-06,0.0007903282235925,59225100
AT,^ATX,2025-07,0.0203544454454639,48379900
AT,^ATX,2025-08,0.0203536515549336,54957300
BE,^BFX,2024-11,0.0031417366462599,104260500
BE,^BFX,2024-12,0.0087660543742848,93231100
BE,^BFX,2025-01,0.014322915141921,124599600
BE,^BFX,2025-02,0.0216001806914563,135649700
BE,^BFX,2025-03,-0.019436547696439,142333000
BE,^BFX,2025-04,0.0214704422140195,137207600
BE,^BFX,2025-05,0.0162506140134239,127386000
BE,^BFX,2025-06,-0.005805266481329,107311600
BE,^BFX,2025-07,0.03514357172419,97887200
BE,^BFX,2025-08,0.0344359134390878,86211000
DE,^GDAXI,2024-11,0.0283664287347448,1415336600
DE,^GDAXI,2024-12,0.0143008476777056,1114142900
DE,^GDAXI,2025-01,0.0876092112293543,1419143600
DE,^GDAXI,2025-02,0.0370102993245107,1443732400
DE,^GDAXI,2025-03,-0.0173521136867619,1953357800
DE,^GDAXI,2025-04,0.014934747787439,1981512500
DE,^GDAXI,2025-05,0.0645677455526871,1429149800
DE,^GDAXI,2025-06,-0.0036684003381486,1260382600
DE,^GDAXI,2025-07,0.0064976181897128,1211948500
DE,^GDAXI,2025-08,-0.0068070997158583,1071964700
DK,^OMXC25,2024-11,-0.0126617797874186,349312700
DK,^OMXC25,2024-12,-0.0414217332768272,294278000
DK,^OMXC25,2025-01,-0.0021238089156074,339067900
DK,^OMXC25,2025-02,0.0431621411582377,350331700
DK,^OMXC25,2025-03,-0.104761153700316,351190600
DK,^OMXC25,2025-04,-0.0068792405648524,388956900
DK,^OMXC25,2025-05,0.0617160955399734,389771300
DK,^OMXC25,2025-06,-0.0316558455208135,300817100
DK,^OMXC25,2025-07,-0.0245434723669572,359890300
DK,^OMXC25,2025-08,0.000870546296546,419410200
ES,^IBEX,2024-11,-0.0026850783677706,2687846200
