Country,Time,Level 1 Index,Indprod Index Value (I21)
MT,2025-07,B+C,219.8
MT,2025-08,B+C,203.8
NL,2024-11,B+C,168.7
NL,2024-12,B+C,162.2
NL,2025-01,B+C,152.3
NL,2025-02,B+C,153.0
NL,2025-03,B+C,173.9
NL,2025-04,B+C,159.9
NL,2025-05,B+C,155.8
NL,2025-06,B+C,166.2
NL,2025-07,B+C,164.2
NL,2025-08,B+C,153.6
PL,2024-11,B+C,220.7
PL,2024-12,B+C,204.0
PL,2025-01,B+C,206.10000000000002
PL,2025-02,B+C,203.2
PL,2025-03,B+C,217.10000000000002
PL,2025-04,B+C,212.3
PL,2025-05,B+C,211.39999999999998
PL,2025-06,B+C,210.60000000000002
PL,2025-07,B+C,213.2
PL,2025-08,B+C,201.10000000000002
PT,2024-11,B+C,195.5
PT,2024-12,B+C,176.5
PT,2025-01,B+C,177.8
PT,2025-02,B+C,187.0
PT,2025-03,B+C,193.6
PT,2025-04,B+C,186.0
PT,2025-05,B+C,204.9
PT,2025-06,B+C,192.39999999999998
PT,2025-07,B+C,221.89999999999998
PT,2025-08,B+C,159.4
RO,2024-11,B+C,201.0
RO,2024-12,B+C,179.9
RO,2025-01,B+C,170.10000000000002
RO,2025-02,B+C,176.7
RO,2025-03,B+C,202.2
RO,2025-04,B+C,189.2
RO,2025-05,B+C,203.7
RO,2025-06,B+C,196.7
RO,2025-07,B+C,205.10000000000002
RO,2025-08,B+C,178.39999999999998
SE,2024-11,B+C,192.6
SE,2024-12,B+C,211.5
SE,2025-01,B+C,201.5
SE,2025-02,B+C,191.9
SE,2025-03,B+C,215.3
SE,2025-04,B+C,202.8
SE,2025-05,B+C,192.7
SE,2025-06,B+C,223.3
SE,2025-07,B+C,181.6
SE,2025-08,B+C,200.8
SI,2024-11,B+C,225.4
SI,2024-12,B+C,205.5
SI,2025-01,B+C,207.0
SI,2025-02,B+C,192.2
SI,2025-03,B+C,207.5
SI,2025-04,B+C,217.3
SI,2025-05,B+C,207.0
SI,2025-06,B+C,222.0
SI,2025-07,B+C,216.0
SI,2025-08,B+C,167.3
SK,2024-11,B+C,167.2
SK,2024-12,B+C,151.6
SK,2025-01,B+C,148.9
SK,2025-02,B+C,160.3
SK,2025-03,B+C,183.5
SK,2025-04,B+C,181.0
SK,2025-05,B+C,178.3
SK,2025-06,B+C,166.7
SK,2025-07,B+C,149.0
SK,2025-08,B+C,146.9
