Country,Publication_Date,Exposure
MT,2025-08-01,0.11986250750288278
MT,2025-09-25,1.050732072772732
MT,2025-10-13,0.04189697659781655
NL,2024-09-26,0.0031887185975725003
NL,2025-02-05,-0.012889731328149082
NL,2025-03-11,1.707475576710225
NL,2025-04-03,0.2567095727707037
NL,2025-05-02,0.0921221083051852
NL,2025-06-02,2.0101434595392216
NL,2025-08-01,0.1037184939264486
NL,2025-09-25,0.5700450024301805
NL,2025-10-13,0.02767357165433248
PL,2024-09-26,0.05572658025779
PL,2025-02-05,-0.02108134651459524
PL,2025-03-11,2.221754590155076
PL,2025-04-03,0.0031899390132800387
PL,2025-05-02,0.44706511103415664
PL,2025-06-02,2.2361717572124835
PL,2025-08-01,0.5561675596083083
PL,2025-09-25,2.0294658994292774
PL,2025-10-13,0.41141513940059965
PT,2024-09-26,0.0306381098272325
PT,2025-02-05,-0.003762270208045506
PT,2025-03-11,1.607197046299403
PT,2025-04-03,0.007495868419081903
PT,2025-05-02,0.5778751475684094
PT,2025-06-02,1.6382966561611954
PT,2025-08-01,0.099569092800756
PT,2025-09-25,1.3683922341293309
PT,2025-10-13,0.23932274185943922
RO,2024-09-26,0.0
RO,2025-02-05,-0.0025117555307860315
RO,2025-03-11,4.459834214233743
RO,2025-04-03,0.0024556543413429303
RO,2025-05-02,0.665905035766831
RO,2025-06-02,4.4948317805834614
RO,2025-08-01,0.23369044555861385
RO,2025-09-25,2.55473493781515
RO,2025-10-13,0.3191864972660688
SE,2024-09-26,0.00023130341297841934
SE,2025-02-05,-0.0022095171368006644
SE,2025-03-11,2.1394413000502626
SE,2025-04-03,4.610250164529895
SE,2025-05-02,0.29431891273630967
SE,2025-06-02,7.034655507449813
SE,2025-08-01,0.07285353052258135
SE,2025-09-25,3.2447045251529882
SE,2025-10-13,0.05819166489647876
SI,2024-09-26,0.0036525278387325
SI,2025-02-05,-0.021876841926078267
SI,2025-03-11,1.5115733302521952
SI,2025-04-03,0.0026302250985525
SI,2025-05-02,0.16454786413685402
SI,2025-06-02,1.5142035553507478
SI,2025-08-01,0.021887227634894046
SI,2025-09-25,0.45800095217135023
SI,2025-10-13,0.02182357644132925
SK,2024-09-26,0.00010287116524683379
SK,2025-02-05,-0.0004022407423619197
SK,2025-03-11,1.1606742417553373
SK,2025-04-03,17.423096369248086
SK,2025-05-02,0.3938580967069229
SK,2025-06-02,18.601133202366043
SK,2025-08-01,0.0702385991811998
SK,2025-09-25,11.680432494780668
SK,2025-10-13,0.08690640397680968
