99xx_HTS,Mapped_HTS,Revision,Publication_Date
9918.04.61,0402.29.50,hts_2025_revision_1_csv,2025-02-05
9918.04.62,0402.99.90,hts_2025_revision_1_csv,2025-02-05
9918.04.63,0403.20.50,hts_2025_revision_1_csv,2025-02-05
9918.04.64,0403.90.95,hts_2025_revision_1_csv,2025-02-05
9918.04.65,0404.10.15,hts_2025_revision_1_csv,2025-02-05
9918.04.66,0404.90.50,hts_2025_revision_1_csv,2025-02-05
9918.04.67,0405.20.70,hts_2025_revision_1_csv,2025-02-05
9918.04.67,2106.90.66,hts_2025_revision_1_csv,2025-02-05
9918.04.69,1704.90.58,hts_2025_revision_1_csv,2025-02-05
9918.04.70,1806.20.82,hts_2025_revision_1_csv,2025-02-05
9918.04.71,1806.20.83,hts_2025_revision_1_csv,2025-02-05
9918.04.72,1806.32.70,hts_2025_revision_1_csv,2025-02-05
9918.04.72,1806.90.08,hts_2025_revision_1_csv,2025-02-05
9918.04.73,1806.32.80,hts_2025_revision_1_csv,2025-02-05
9918.04.73,1806.90.10,hts_2025_revision_1_csv,2025-02-05
9918.04.74,1901.10.16,hts_2025_revision_1_csv,2025-02-05
9918.04.74,1901.10.26,hts_2025_revision_1_csv,2025-02-05
9918.04.74,1901.10.36,hts_2025_revision_1_csv,2025-02-05
9918.04.74,1901.10.44,hts_2025_revision_1_csv,2025-02-05
9918.04.75,1901.20.15,hts_2025_revision_1_csv,2025-02-05
9918.04.75,1901.20.50,hts_2025_revision_1_csv,2025-02-05
9918.04.76,1901.10.56,hts_2025_revision_1_csv,2025-02-05
9918.04.76,1901.10.66,hts_2025_revision_1_csv,2025-02-05
9918.04.76,1901.90.62,hts_2025_revision_1_csv,2025-02-05
9918.04.76,1901.90.65,hts_2025_revision_1_csv,2025-02-05
9918.04.77,2105.00.40,hts_2025_revision_1_csv,2025-02-05
9918.04.79,2106.90.87,hts_2025_revision_1_csv,2025-02-05
9918.04.80,2202.99.28,hts_2025_revision_1_csv,2025-02-05
9903.92.10,8426.19.00,hts_2024_revision_9_csv,2024-09-26
9903.94.05,4009.12.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,4009.22.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,4009.32.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,4009.42.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,4013.10.0010,hts_2025_revision_11_csv,2025-05-02
9903.94.05,4013.10.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,4016.99.6010,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8409.91.1040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8409.99.1040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8413.91.9010,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8414.30.8030,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8414.59.6540,hts_2025_revision_11_csv,2025-05-02
