99xx_HTS,Mapped_HTS,Normalized_HTS,Revision,Publication_Date,effective_pct_delta
9915.04.71,1806.32.80,180632,hts_2025_revision_1_csv,2025-02-05,-3.3
9915.04.71,1806.90.10,180690,hts_2025_revision_1_csv,2025-02-05,-3.3
9915.04.71,1806.90.20,180690,hts_2025_revision_1_csv,2025-02-05,-3.3
9915.04.71,1806.90.30,180690,hts_2025_revision_1_csv,2025-02-05,-3.3
9915.04.72,1901.10.16,190110,hts_2025_revision_1_csv,2025-02-05,-8.1
9915.04.72,1901.10.26,190110,hts_2025_revision_1_csv,2025-02-05,-8.1
9915.04.72,1901.10.36,190110,hts_2025_revision_1_csv,2025-02-05,-8.1
9915.04.72,1901.10.44,190110,hts_2025_revision_1_csv,2025-02-05,-8.1
9915.04.73,1901.20.15,190120,hts_2025_revision_1_csv,2025-02-05,-4.6
9915.04.73,1901.20.50,190120,hts_2025_revision_1_csv,2025-02-05,-4.6
9915.04.74,1901.10.56,190110,hts_2025_revision_1_csv,2025-02-05,-7.4
9915.04.74,1901.10.66,190110,hts_2025_revision_1_csv,2025-02-05,-7.4
9915.04.74,1901.90.62,190190,hts_2025_revision_1_csv,2025-02-05,-7.4
9915.04.74,1901.90.65,190190,hts_2025_revision_1_csv,2025-02-05,-7.4
9915.04.75,2105.00.40,210500,hts_2025_revision_1_csv,2025-02-05,-9.3
9915.04.77,2106.90.87,210690,hts_2025_revision_1_csv,2025-02-05,-4.6
9915.04.78,2202.99.28,220299,hts_2025_revision_1_csv,2025-02-05,-8.1
9918.04.61,0402.29.50,040229,hts_2025_revision_1_csv,2025-02-05,-1.0
9918.04.62,0402.99.90,040299,hts_2025_revision_1_csv,2025-02-05,-1.0
9918.04.63,0403.20.50,040320,hts_2025_revision_1_csv,2025-02-05,-1.1
9918.04.64,0403.90.95,040390,hts_2025_revision_1_csv,2025-02-05,-1.1
9918.04.65,0404.10.15,040410,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.66,0404.90.50,040490,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.67,0405.20.70,040520,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.67,2106.90.66,210690,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.69,1704.90.58,170490,hts_2025_revision_1_csv,2025-02-05,-0.7000000000000001
9918.04.70,1806.20.82,180620,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.71,1806.20.83,180620,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.72,1806.32.70,180632,hts_2025_revision_1_csv,2025-02-05,-0.4
9918.04.72,1806.90.08,180690,hts_2025_revision_1_csv,2025-02-05,-0.4
9918.04.73,1806.32.80,180632,hts_2025_revision_1_csv,2025-02-05,-0.4
9918.04.73,1806.90.10,180690,hts_2025_revision_1_csv,2025-02-05,-0.4
9918.04.74,1901.10.16,190110,hts_2025_revision_1_csv,2025-02-05,-1.0
9918.04.74,1901.10.26,190110,hts_2025_revision_1_csv,2025-02-05,-1.0
9918.04.74,1901.10.36,190110,hts_2025_revision_1_csv,2025-02-05,-1.0
9918.04.74,1901.10.44,190110,hts_2025_revision_1_csv,2025-02-05,-1.0
9918.04.75,1901.20.15,190120,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.75,1901.20.50,190120,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.76,1901.10.56,190110,hts_2025_revision_1_csv,2025-02-05,-0.9
9918.04.76,1901.10.66,190110,hts_2025_revision_1_csv,2025-02-05,-0.9
9918.04.76,1901.90.62,190190,hts_2025_revision_1_csv,2025-02-05,-0.9
9918.04.76,1901.90.65,190190,hts_2025_revision_1_csv,2025-02-05,-0.9
9918.04.77,2105.00.40,210500,hts_2025_revision_1_csv,2025-02-05,-1.1
9918.04.79,2106.90.87,210690,hts_2025_revision_1_csv,2025-02-05,-0.6000000000000001
9918.04.80,2202.99.28,220299,hts_2025_revision_1_csv,2025-02-05,-1.0
9903.92.10,8426.19.00,842619,hts_2024_revision_9_csv,2024-09-26,25.0
9903.94.05,4009.12.0020,400912,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,4009.22.0020,400922,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,4009.32.0020,400932,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,4009.42.0020,400942,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,4013.10.0010,401310,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,4013.10.0020,401310,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,4016.99.6010,401699,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8409.91.1040,840991,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8409.99.1040,840999,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8413.91.9010,841391,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8414.30.8030,841430,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8414.59.6540,841459,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8431.10.0090,843110,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.10.5044,848210,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.10.5048,848210,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.20.0020,848220,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.20.0030,848220,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.20.0040,848220,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.20.0061,848220,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.20.0070,848220,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8482.20.0081,848220,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8483.10.1030,848310,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8511.10.0000,851110,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8511.30.0040,851130,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8511.30.0080,851130,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8511.90.6020,851190,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8511.90.6040,851190,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8525.60.1010,852560,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8536.41.0005,853641,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8539.10.0010,853910,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8539.10.0050,853910,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8707.10.0020,870710,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8707.10.0040,870710,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8707.90.5020,870790,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8707.90.5040,870790,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8707.90.5060,870790,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,8707.90.5080,870790,hts_2025_revision_11_csv,2025-05-02,25.0
9903.94.05,9029.20.4080,902920,hts_2025_revision_11_csv,2025-05-02,25.0
9903.85.15,6603.90.8100,660390,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.10.3000,830210,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.10.6030,830210,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.10.6060,830210,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.10.6090,830210,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.20.0000,830220,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.30.3010,830230,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.30.3060,830230,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.41.3000,830241,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.41.6015,830241,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.41.6045,830241,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.41.6050,830241,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.41.6080,830241,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.42.3010,830242,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.42.3015,830242,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.42.3065,830242,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.49.6035,830249,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.49.6045,830249,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.49.6055,830249,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.49.6085,830249,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.50.0000,830250,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.60.3000,830260,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8302.60.9000,830260,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8305.10.0050,830510,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8306.30.0000,830630,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8414.59.6590,841459,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8415.90.8025,841590,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8415.90.8045,841590,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8415.90.8085,841590,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8418.99.8005,841899,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8418.99.8050,841899,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8418.99.8060,841899,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8419.50.5000,841950,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8419.90.1000,841990,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8422.90.0640,842290,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8424.90.9080,842490,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8473.30.2000,847330,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8473.30.5100,847330,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8479.89.9599,847989,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8479.90.8500,847990,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8479.90.9596,847990,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8481.90.9060,848190,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8481.90.9085,848190,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8486.90.0000,848690,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8487.90.0080,848790,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8503.00.9520,850300,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8508.70.0000,850870,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8513.90.2000,851390,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8515.90.2000,851590,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8516.90.5000,851690,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8516.90.8050,851690,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8517.71.0000,851771,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8517.79.0000,851779,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8529.90.7300,852990,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8529.90.9760,852990,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8536.90.8585,853690,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8538.10.0000,853810,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8541.90.0000,854190,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8543.90.8885,854390,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8547.90.0020,854790,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8547.90.0030,854790,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8547.90.0040,854790,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8708.10.3050,870810,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8708.29.5160,870829,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8708.80.6590,870880,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8708.99.6890,870899,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8716.80.5010,871680,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,8807.30.0060,880730,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9013.90.8000,901390,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9031.90.9195,903190,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9401.99.9081,940199,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9403.99.1040,940399,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9403.99.9010,940399,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9403.99.9015,940399,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9403.99.9020,940399,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9403.99.9040,940399,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9403.99.9045,940399,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9405.99.4020,940599,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.11.4080,950611,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.51.4000,950651,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.51.6000,950651,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.59.4040,950659,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.70.2090,950670,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.91.0010,950691,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.91.0020,950691,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.91.0030,950691,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.0510,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.0520,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.0530,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.1500,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.2000,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.2580,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.2800,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.5500,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9506.99.6080,950699,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9507.30.2000,950730,hts_2025_revision_14_csv,2025-06-02,25.0
